Date,"Adams County, ND","Barnes County, ND","Benson County, ND","Billings County, ND","Bottineau County, ND","Bowman County, ND","Burke County, ND","Burleigh County, ND","Cass County, ND","Cavalier County, ND","Dickey County, ND","Divide County, ND","Dunn County, ND","Eddy County, ND","Emmons County, ND","Foster County, ND","Golden Valley County, ND","Grand Forks County, ND","Grant County, ND","Griggs County, ND","Hettinger County, ND","Kidder County, ND","LaMoure County, ND","Logan County, ND","McHenry County, ND","McIntosh County, ND","McKenzie County, ND","McLean County, ND","Mercer County, ND","Morton County, ND","Mountrail County, ND","Nelson County, ND","Oliver County, ND","Pembina County, ND","Pierce County, ND","Ramsey County, ND","Ransom County, ND","Renville County, ND","Richland County, ND","Rolette County, ND","Sargent County, ND","Sheridan County, ND","Sioux County, ND","Slope County, ND","Stark County, ND","Steele County, ND","Stutsman County, ND","Towner County, ND","Traill County, ND","Walsh County, ND","Ward County, ND","Wells County, ND","Williams County, ND"
06/2016,0.0,0.0,0.0,324300.0,144198.0,552952.0,356624.0,0.0,0.0,0.0,0.0,842638.0,5170748.0,0.0,0.0,0.0,57435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991.0,0.0,11386076.0,63501.0,0.0,0.0,6195506.0,0.0,0.0,0.0,0.0,0.0,0.0,59921.0,0.0,0.0,0.0,0.0,0.0,30750.0,462309.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,4960143.0
07/1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0
07/1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116298.0
07/1953,0.0,0.0,0.0,0.0,1636.0,0.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10004.0,0.0,0.0,0.0,76461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345830.0
07/1954,0.0,0.0,0.0,15799.0,4238.0,0.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38881.0,0.0,0.0,0.0,94453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301762.0
07/1955,0.0,0.0,0.0,22985.0,39937.0,0.0,10862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77243.0,0.0,0.0,0.0,228346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772075.0
07/1956,0.0,0.0,0.0,18034.0,28799.0,0.0,10165.0,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161868.0,0.0,0.0,0.0,205456.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667833.0
07/1957,0.0,0.0,0.0,21731.0,33712.0,0.0,22523.0,0.0,0.0,0.0,0.0,2631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298693.0,0.0,0.0,0.0,186904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,620491.0
07/1958,0.0,0.0,0.0,39003.0,103256.0,1432.0,116917.0,0.0,0.0,0.0,0.0,12514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428873.0,0.0,0.0,0.0,154948.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,0.0,0.0,0.0,0.0,0.0,0.0,3903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522459.0
07/1959,0.0,0.0,0.0,29037.0,194333.0,1218.0,277624.0,0.0,0.0,0.0,0.0,22283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407317.0,0.0,0.0,0.0,119031.0,0.0,0.0,0.0,0.0,0.0,0.0,21800.0,0.0,0.0,0.0,0.0,0.0,0.0,3238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466030.0
