"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33061030740000","811.404","757.2","","","","836.178","55982","18612","","","","35569","56850","26107","","","","42599","50.385","58.38","","","","54.497"
"33025023110000","1136.661","1696.982","","","","1320.354","73386","7587","","","","34646","46858","9077","","","","25836","38.969","54.471","","","","42.717"
"33061017150000","493.264","366.821","505.561","528.603","","380.697","167671","24974","257486","301362","","94889","52137","27786","62439","72204","","49806","23.719","52.665","19.517","19.328","","34.421"
"33009022170000","","","","","","","488","146","773","1022","","307","9029","3178","13185","16039","","6264","94.872","95.608","94.462","94.01","","95.328"
"33053051070000","2364.023","1977.1","2573.724","","","1926.181","54112","16288","81452","","","34964","12176","7256","16141","","","9122","18.368","30.819","16.539","","","20.691"
"33053048440000","2148.371","1802.662","2040.1","","","1985.085","80083","26148","113442","","","53704","16163","6523","20807","","","12109","16.793","19.966","15.499","","","18.399"
"33023008340000","1846.04","179.695","2260.703","2466.017","2558.943","1231.69","22902","2226","32420","39108","43661","13026","71725","23670","98818","120592","136384","46112","75.798","91.404","75.297","75.512","75.75","77.974"
"33105029110000","","38.926","","","","726.031","","2980","","","","20214","","13762","","","","46195","","82.2","","","","69.561"
"33105029670000","","777.735","","","","","","5255","","","","","","10594","","","","","","66.843","","","",""
"33061028390000","510.48","565.398","","","","414.869","114986","23357","","","","72242","38843","14025","","","","27814","25.251","37.518","","","","27.798"
"33007017300000","401.182","427.097","437.058","457.582","","427.819","20138","5329","29019","34549","","12150","22177","3058","58045","96490","","9406","52.409","36.461","66.669","73.635","","43.635"
"33033003380000","281.606","302.283","264.742","","","284.144","26182","8277","37070","","","17104","9236","2526","16763","","","5127","26.077","23.382","31.139","","","23.062"
"33061020150000","399.481","218.135","461.892","492.956","545.702","344.908","43957","9650","65420","84397","100269","24940","22011","5251","30010","37123","43195","12034","33.366","35.239","31.447","30.549","30.109","32.547"
"33105030390000","1272.962","1449.381","","","","1304.287","40687","10263","","","","24937","45455","10226","","","","27818","52.768","49.91","","","","52.731"
"33013015580000","653.095","644.795","680.09","668.602","725.58","710.517","28884","7224","40552","50987","59839","19901","71328","19791","109301","137702","163781","48046","71.177","73.259","72.939","72.978","73.241","70.711"
"33105030490000","735.858","681.185","673.082","","","752.494","87737","20664","122361","","","53934","91033","35194","117500","","","67439","50.922","63.006","48.987","","","55.563"
"33105027280000","671.297","626.537","","","","634.512","45068","10001","","","","29213","42568","8806","","","","24310","48.574","46.823","","","","45.42"
"33105025660000","655.937","683.437","652.339","645.005","696.654","572.166","25382","7553","37643","47919","62338","16469","52141","19858","79731","101841","126357","34630","67.259","72.445","67.929","68.003","66.964","67.77"
"33023005710000","1060.599","617.412","1376.66","1334.166","1316.287","852.959","48928","12405","75519","92128","104810","27965","40893","4627","77229","97091","113483","18663","45.527","27.167","50.56","51.311","51.987","40.025"
