"api","file_no","Current_Operator","Current_Well_Name","Lease_Name","Lease_Number","Original_Operator","Original_Well_Name","Spud_Date","TD","County_Name","Township","Range","Section","QQ","Footages","Field_Name","Produced_Pools","Wellbore","Latitude","Longitude","Well_Type","Well_Status","CTB","Well_Status_Date"
"33025015930000","22261","MARATHON OIL COMPANY","LANDBLOM  14-26H","LANDBLOM","14-26H","MARATHON OIL COMPANY","LANDBLOM  14-26H","04/15/2012","20497","DUNN","144 N","96 W","26","SWSW","375 FSL  950 FWL","MURPHY CREEK","BAKKEN","HORIZONTAL","47.256898103142802","-102.81656286181364","OG","A","122261","07/09/2012"
"33013016520000","22262","OXY USA INC.","LITTLE BUTTE  1-21-28H-160-90","LITTLE BUTTE","1-21-28H-160-90","OXY USA INC.","LITTLE BUTTE  1-21-28H-160-90","03/15/2012","17038","BURKE","160 N","90 W","21","NENW","350 FNL  1701 FWL","DIMOND","BAKKEN","HORIZONTAL","48.675717183341497","-102.31365667577101","OG","A","122262","05/22/2012"
"33105025050000","22263","CRESCENT POINT ENERGY U.S. CORP.","CPEUSC MCQUARTERS  14-23-158N-101W","CPEUSC MCQUARTERS","14-23-158N-101W","CRESCENT POINT ENERGY U.S. CORP.","CPEUSC MCQUARTERS  14-23-158N-101W","02/18/2012","19540","WILLIAMS","158 N","101 W","14","NWNE","250 FNL  2635 FEL","LITTLE MUDDY","BAKKEN","HORIZONTAL","48.517134727198496","-103.6997774637409","OG","A","122263","04/13/2012"
"33061020040000","22264","HESS BAKKEN INVESTMENTS II, LLC","EN-PATRICK JOSEPH  157-94-2314H-1","EN-PATRICK JOSEPH","157-94-2314H-1","HESS CORPORATION","EN-PATRICK JOSEPH  157-94-2314H-1","04/28/2012","19797","MOUNTRAIL","157 N","94 W","23","SWSW","1080 FSL  246 FWL","BIG BUTTE","BAKKEN","HORIZONTAL","48.40443423724674","-102.79734563388247","OG","A","215925","06/05/2012"
"33061020060000","22266","STATOIL OIL & GAS LP","PANZER  22-23 #2TFH","PANZER","22-23 #2TFH","BRIGHAM OIL & GAS, L.P.","PANZER  22-23 #2H","03/06/2012","20012","MOUNTRAIL","155 N","92 W","22","SWSW","1082 FSL  375 FWL","ALGER","BAKKEN","HORIZONTAL","48.228813135720436","-102.5024862014568","OG","A","222007","01/23/2013"
"33105025060000","22267","CONTINENTAL RESOURCES, INC.","HELENA   2-7H","HELENA","2-7H","CONTINENTAL RESOURCES, INC.","HELENA   2-7H","05/26/2012","20860","WILLIAMS","155 N","98 W","7","SWSE","295 FSL  1370 FEL","BROOKLYN","BAKKEN","HORIZONTAL","48.256524207316851","-103.32983471105408","OG","A","122267","09/26/2012"
"33025015950000","22269","WPX ENERGY WILLISTON, LLC","FETTIG  6-7HB","FETTIG","6-7HB","DAKOTA-3 E&P COMPANY, LLC","FETTIG  6-7HB","07/03/2012","","DUNN","148 N","94 W","6","LOT3","276 FNL  1641 FWL","EAGLE NEST","","HORIZONTAL","47.67330160622533","-102.70823938397092","OG","IA","","08/19/2012"
"33025015960000","22270","WPX ENERGY WILLISTON, LLC","FETTIG  6-7HC","FETTIG","6-7HC","DAKOTA-3 E&P COMPANY, LLC","FETTIG  6-7HC","04/04/2012","21344","DUNN","148 N","94 W","6","LOT3","226 FNL  1641 FWL","EAGLE NEST","BAKKEN","HORIZONTAL","47.673438673633136","-102.70823837090803","OG","A","122270","09/28/2012"
"33025015970000","22271","OXY USA INC.","STATE CALLY  1-26-23H-142-97","STATE CALLY","1-26-23H-142-97","OXY USA INC.","STATE CALLY  1-26-23H-142-97","03/09/2012","20699","DUNN","142 N","97 W","26","SESW","350 FSL  1980 FWL","WILLMEN","BAKKEN","HORIZONTAL","47.082924200352139","-102.93967474300268","OG","A","122271","05/12/2012"
"33105025070000","22272","CONTINENTAL RESOURCES, INC.","BISMARCK  2-9H","BISMARCK","2-9H","CONTINENTAL RESOURCES, INC.","BISMARCK  2-9H","04/29/2012","20970","WILLIAMS","155 N","98 W","9","SESE","260 FSL  700 FEL","BROOKLYN","BAKKEN","HORIZONTAL","48.256257416538332","-103.28377597012286","OG","A","122272","08/17/2012"
"33053039450000","22273","CONTINENTAL RESOURCES, INC.","STEELE  2-24H","STEELE","2-24H","CONTINENTAL RESOURCES, INC.","STEELE  2-24H","02/15/2012","21212","MCKENZIE","152 N","99 W","24","SWSW","200 FSL  1125 FWL","BANKS","BAKKEN","HORIZONTAL","47.964305521179632","-103.29980713035978","OG","A","122273","04/25/2012"
"33053039460000","22274","WHITING OIL AND GAS CORPORATION","LAROQUE  34-12H","LAROQUE","34-12H","WHITING OIL AND GAS CORPORATION","LAROQUE  34-12H","02/13/2013","20475","MCKENZIE","151 N","102 W","12","SWSE","305 FSL  1980 FEL","LONESOME","BAKKEN","HORIZONTAL","47.907014628321917","-103.67628094831038","OG","A","222274","05/25/2013"
"33105025080000","22275","XTO ENERGY INC.","ROSE FEDERAL  34X-34C","ROSE FEDERAL","34X-34C","XTO ENERGY INC.","ROSE FEDERAL  34X-34","08/16/2012","20574","WILLIAMS","155 N","97 W","34","SWSE","260 FSL  1360 FEL","WEST CAPA","BAKKEN","HORIZONTAL","48.198257408128931","-103.13538141458393","OG","A","122275","01/08/2013"
"33007017210000","22276","CONTINENTAL RESOURCES, INC.","EPSOM  1-31H","EPSOM","1-31H","CONTINENTAL RESOURCES, INC.","EPSOM  1-31H","01/05/2012","20590","BILLINGS","141 N","98 W","31","SESW","270 FSL  1979 FWL","ST. DEMETRIUS","BAKKEN","HORIZONTAL","46.981273975361226","-103.15137205446779","OG","A","122276","04/09/2012"
"33007017220000","22277","CONTINENTAL RESOURCES, INC.","ELIZABETH ANN  1-32H","ELIZABETH ANN","1-32H","CONTINENTAL RESOURCES, INC.","ELIZABETH ANN  1-32H","05/07/2012","20576","BILLINGS","141 N","98 W","32","SESW","290 FSL  1980 FWL","ST. DEMETRIUS","BAKKEN","HORIZONTAL","46.981409589483746","-103.13015855238369","OG","A","122277","06/26/2012"
"33025015980000","22278","OXY USA INC.","MARTIN  2-30-31H-144-96","MARTIN","2-30-31H-144-96","OXY USA INC.","MARTIN  2-30-31H-144-96","02/27/2012","20430","DUNN","144 N","96 W","30","LOT1","403 FNL  501 FWL","CABERNET","BAKKEN","HORIZONTAL","47.268908675463834","-102.90288021274182","OG","A","218343","06/06/2012"
"33025015990000","22279","OXY USA INC.","STATE KARY  2-19-18H-144-96","STATE KARY","2-19-18H-144-96","OXY USA INC.","STATE KARY  2-19-18H-144-96","02/24/2012","20776","DUNN","144 N","96 W","30","LOT1","402 FNL  551 FWL","MURPHY CREEK","BAKKEN","HORIZONTAL","47.268912771288747","-102.90267863716716","OG","A","218343","06/10/2012"
