Date,"Albany County, WY","Big Horn County, WY","Campbell County, WY","Carbon County, WY","Converse County, WY","Crook County, WY","Fremont County, WY","Goshen County, WY","Hot Springs County, WY","Johnson County, WY","Laramie County, WY","Lincoln County, WY","Natrona County, WY","Niobrara County, WY","Park County, WY","Platte County, WY","Sheridan County, WY","Sublette County, WY","Sweetwater County, WY","Teton County, WY","Uinta County, WY","Washakie County, WY","Weston County, WY"
07/2008,2.4,3.7,1.8,2.8,2.5,2.4,3.6,3.7,2.7,2.8,3.5,3.0,2.6,2.6,2.5,4.2,2.6,1.4,2.2,1.6,2.7,3.0,2.9
07/2009,4.6,8.4,5.6,7.0,5.7,5.4,8.0,5.7,5.8,7.1,6.3,7.6,7.0,5.0,5.0,5.8,6.3,5.2,7.2,4.8,7.3,6.1,6.4
07/2010,4.5,5.9,5.4,6.0,5.0,4.3,6.2,5.0,4.6,5.9,5.9,7.1,6.2,4.4,4.8,5.3,6.4,4.9,5.9,4.7,6.2,5.1,4.3
07/2011,4.1,5.4,4.6,5.2,4.5,4.5,5.9,4.8,4.7,5.3,5.7,6.5,5.5,3.9,4.2,4.9,6.0,4.0,4.9,4.7,5.8,5.1,4.2
07/2012,4.4,5.5,4.5,4.7,4.0,4.3,5.9,4.6,4.1,4.6,5.4,6.4,4.8,3.9,4.5,4.9,5.8,4.8,4.6,4.2,5.4,4.7,3.8
07/2013,3.8,4.6,4.0,3.6,3.5,3.9,5.5,4.3,4.0,4.3,4.2,4.7,4.2,3.4,4.0,4.4,4.7,4.1,4.1,3.4,4.8,4.3,3.3
07/2014,3.7,4.1,3.1,3.5,3.0,3.6,4.8,3.6,3.8,3.9,3.9,4.3,3.8,3.6,3.5,4.1,4.0,3.8,3.9,2.8,4.5,3.9,3.3
07/2015,3.3,4.2,3.9,3.2,3.5,2.9,5.6,3.2,3.8,4.3,3.7,4.0,4.9,3.4,3.4,3.8,3.7,4.7,4.8,2.3,4.8,4.0,3.1
07/2016,3.4,4.5,7.7,3.9,6.6,4.2,6.9,3.4,4.3,4.5,3.8,3.8,7.1,3.4,3.7,4.6,4.0,5.8,6.2,2.0,5.6,4.5,5.1
07/2017,2.9,3.6,4.6,3.4,4.3,2.7,5.2,3.0,3.5,3.2,3.4,3.0,4.8,2.9,3.2,3.4,3.4,3.6,4.4,1.7,4.1,3.6,3.4
08/1990,5.2,5.1,4.4,3.9,3.8,2.6,6.7,3.5,3.0,2.9,4.3,4.9,5.4,1.5,3.1,4.5,4.5,2.0,4.6,0.9,5.8,4.0,3.4
08/1991,3.1,5.4,4.3,4.5,4.3,2.2,5.8,3.1,4.9,2.8,3.6,5.3,5.8,1.3,3.4,4.1,4.5,1.5,5.9,1.4,6.3,3.7,3.3
08/1992,2.5,5.8,4.9,4.6,5.2,1.8,6.9,3.9,5.2,3.5,3.8,5.8,6.5,3.1,3.0,4.6,5.0,1.8,5.7,1.0,7.6,6.6,3.7
08/1993,2.6,6.0,4.3,4.9,5.1,3.1,6.1,4.5,5.2,3.9,3.7,6.5,6.7,3.4,3.0,4.5,4.0,2.6,5.7,1.0,7.1,6.4,3.3
08/1994,2.2,6.2,3.8,3.7,4.1,3.1,6.5,4.0,4.4,1.9,3.5,5.9,5.4,1.7,2.8,5.1,3.7,1.8,4.4,0.7,7.2,5.5,3.7
08/1995,2.1,5.0,4.4,4.1,4.3,3.2,6.9,4.4,3.6,2.8,3.4,5.6,5.1,1.9,3.0,4.0,3.7,2.2,5.0,1.0,6.0,6.3,3.5
08/1996,1.8,4.8,4.1,3.8,5.1,3.8,7.1,4.8,4.3,2.8,3.1,5.2,5.8,1.6,3.3,3.6,3.5,2.5,6.1,1.3,6.9,6.1,4.4
